company,person,position,source,notes
"AgriCapture, Inc. ",Tyler Hull,Chief Executive Officer,https://agricapture.com/about,Executive Leadership
"AgriCapture, Inc. ",John Farris,Founder & Executive Chairman,https://agricapture.com/about,Executive Leadership
"AgriCapture, Inc. ",John Lanahan,Director of Demand,https://agricapture.com/about,
"AgriCapture, Inc. ",Wally Macey,Director of Technology,https://agricapture.com/about,
"AgriCapture, Inc. ",Ashton Moody,Director of Product,https://agricapture.com/about,
"AgriCapture, Inc. ",Jennifer Wells,Director of Strategic Partnerships,https://agricapture.com/about,
"AgriCapture, Inc. ",Josh Scott,Controller,https://agricapture.com/about,
Aquila Climate Technology Holding Pte. Ltd.,Stefano Pellegrino,CEO - Vietnam,https://aquila.is/about,Position is Vietnam-specific per source page
Aquila Climate Technology Holding Pte. Ltd.,Ollie Smeenk,Head of IoT Network - Singapore,https://aquila.is/about,
Aquila Climate Technology Holding Pte. Ltd.,Jarek Tkaczyk,Chief Technology Officer - Singapore,https://aquila.is/about,
Aquila Climate Technology Holding Pte. Ltd.,Juvjen Mani,Lending Director - Singapore,https://aquila.is/about,
Aquila Climate Technology Holding Pte. Ltd.,Giando Zappia,President - Vietnam,https://aquila.is/about,
Ata Marie Group Ltd,George Kuru,Manager of Carbon Services and IT Systems,https://www.ata-marie.com/our-team,
Ata Marie Group Ltd,Alex Thorp,Manager Consulting,https://www.ata-marie.com/our-team,
Ata Marie Group Ltd,Tony Wood,Manager Operations,https://www.ata-marie.com/our-team,
Ata Marie Group Ltd,Dadan Setiawan,GIS & Remote Sensing Team Leader,https://www.ata-marie.com/our-team,Indonesian team
Ata Marie Group Ltd,Sofyan Iskandar,Community Engagement Team Leader,https://www.ata-marie.com/our-team,Indonesian team
Ata Marie Group Ltd,Dadi Ardiansyah,Forest Survey and Biodiversity Team Leader,https://www.ata-marie.com/our-team,Indonesian team
CERPD Co. Ltd.,Kim Jong-bum,Representative Director (대표이사),https://www.cerpd.com/,Korean name on page: 김종범
ClimatePartner Impact GmbH,Robin Stoffers,Managing Director,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Nirmal Beura,Head of Project Development,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Guillaume Leclerc,Earth Observation Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Usman Tahir,Earth Observation Manager,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Nikolas Ludwig,Portfolio Management Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Fabio Staccone,Finance & Controlling Manager,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Paulina de los Santos,Marketing/Communications Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Moschda Djalalyar,Partnerships and Market Development Team Lead,https://climatepartnerimpact.com/about-us,
ClimatePartner Impact GmbH,Olga Dickmann,Impact Investing & Business Development Africa Team Lead,https://climatepartnerimpact.com/about-us,
ClimeCo,William E. Flederbach Jr.,President & CEO,https://climeco.com/about-us/,"Co-founders also named on page: William E. Flederbach Jr., Yuda Saydun, and Markus Althausen (founded 2009). Only Flederbach has a current title listed."
Forest Carbon (registered as Equator Group Pte Ltd),Jeffrey Chatellier,Chief Executive Officer,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Devan Wardwell,Chief Investment Officer,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Mary Osmond,Director of Legal & External Affairs,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Timothy Rann,Chief Financial Officer,https://forestcarbon.com/about,
Forest Carbon (registered as Equator Group Pte Ltd),Tom Houston,Chairman,https://forestcarbon.com/about,
Gree Energy Limited,Nicolas Stirer,CEO and Founder,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Benoît Meneau,Chief Financial Officer,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Kritika Dhingra,Head of Operations,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Aryo Bimo Oetomo,Technical Manager,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Fahreza Hidayat,Head of Sustainability,https://gree-energy.com/team/,Core Team
Gree Energy Limited,Jacques de T'serclaes,Advisory Board member; primary role: CEO of ENGIE Factory,https://gree-energy.com/team/,Advisory Board
Gree Energy Limited,Olivier Duguet,"Advisory Board member; primary role: Founder, Chairman and CEO of the Blue Circle",https://gree-energy.com/team/,Advisory Board
Gree Energy Limited,Nicolas de Callatay,Advisory Board member; primary role: Executive Director at JP Morgan,https://gree-energy.com/team/,Advisory Board
Gree Energy Limited,Eva Armila Djauhari,Advisor,https://gree-energy.com/team/,Advisory Board
Hatfield Consultants (parent of PT Hatfield Indonesia),Chris Hatfield,Founder,https://hatfieldgroup.com/about/,Founded Hatfield in 1974; parent of PT Hatfield Indonesia (in DATASET_companies.csv)
KIS Group (parent of PT KIS Biofuels Indonesia),Raghunath,Founder & CEO,https://kisgroup.net/about-us,"Page lists him as ""Mr. Raghunath""; parent of PT KIS Biofuels Indonesia (in DATASET_companies.csv)"
KIS Group (parent of PT KIS Biofuels Indonesia),Dr. Jyothi,Director,https://kisgroup.net/about-us,"Listed as ""Dr. Jyothi"" (no surname given on page); parent of PT KIS Biofuels Indonesia"
KIS Group (parent of PT KIS Biofuels Indonesia),Subodh Mishra,Director,https://kisgroup.net/about-us,"Page lists him as ""Mr. Subodh Mishra""; parent of PT KIS Biofuels Indonesia"
KIS Group (parent of PT KIS Biofuels Indonesia),P. Sheshadri,COO - Chief Operating Officer - Global Technical & Operations,https://kisgroup.net/core-team/,"Page lists him as ""Mr. P.Sheshadri"""
KIS Group (parent of PT KIS Biofuels Indonesia),Amarnath K.,GM Operational Management & Projects,https://kisgroup.net/core-team/,"Page lists him as ""Mr. Amarnath.K"""
KIS Group (parent of PT KIS Biofuels Indonesia),Tejashwini,Head HR Global,https://kisgroup.net/core-team/,"Page lists her as ""Mrs. Tejashwini"" (no surname given)"
Nazava (parent of PT Holland For Water),Lieselotte Heederik,Co-Founder & Director,https://global.nazava.com/about-us/,Parent of PT Holland For Water (Navaza) (in DATASET_companies.csv)
Nazava (parent of PT Holland For Water),Guido van Hofwegen,Co-Founder & Director,https://global.nazava.com/about-us/,Parent of PT Holland For Water (Navaza) (in DATASET_companies.csv)
PT Gaia Eko Daya Buana,Martin Hardiono,President Commissioner,https://gaia.id/about-us/,
PT Gaia Eko Daya Buana,Iis Sabahudin,Commissioner,https://gaia.id/about-us/,
PT Gaia Eko Daya Buana,Andjar Rafiastanto,CEO,https://gaia.id/about-us/,
PT Gaia Eko Daya Buana,Joseph Hutabarat,Chief Business Development Officer,https://gaia.id/about-us/,
PT KIS Biofuels Indonesia,Suresh A.C.,Country Head Indonesia (also GM Head - South East Asia),https://kisgroup.net/core-team/,"Indonesia-specific; full title on page: ""GM Head - South East Asia and Country Head Indonesia"""
PT Pertamina Geothermal Energy,Ahmad Yani,President Director,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,Edwil Suzandi,Director of Exploration & Development,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,Andi Joko Nugroho,Director of Operation,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,Fransetya Hutabarat,Director of Finance,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,Gigih Udi Atmo,President Commissioner,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,John Anis,Commissioner,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,Abdulla Zayed,Commissioner,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,Abdul Musawir Yahya,Independent Commissioner,https://www.pge.pertamina.com/en/management,
PT Pertamina Geothermal Energy,Mohammad Firmansyah,Independent Commissioner,https://www.pge.pertamina.com/en/management,
PT PLN (Persero),Darmawan Prasodjo,President Director,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Edwin Nugraha Putra,Director of Transmission and System Planning,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),E. Haryadi,"Director of Technology, Engineering, and Sustainability Officer",https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Adi Priyanto,Director of Retail and Commerce,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Sinthya Roesly,Director of Finance,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Rizal Calvary Marimbo,Director of Generation Management,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Suroso Isnandar,Director of Project Management and New & Renewable Energy,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Arsyadany Ghana Akmalaputri,Director of Distribution,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Adi Lumakso,Director of Risk Management,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Hartanto Wibowo,Director of Corporate Planning and Business Development,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Yusuf Didi Setiarto,Director of Legal and Human Capital Management,https://web.pln.co.id/en/about-us/board-of-directors,
PT PLN (Persero),Burhanuddin Abdullah,President Commissioner and Independent Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Suahasil Nazara,Vice President Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Aminuddin Ma'ruf,Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Ahmad Erani Yustika,Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Jisman Parada Hutajulu,Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Bambang Eko Suhariyanto,Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Yazid Fanani,Independent Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Mutanto Juwono,Independent Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Andi Arief,Independent Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT PLN (Persero),Ali Masykur Musa,Independent Commissioner,https://web.pln.co.id/en/about-us/board-of-commissioners,
PT Thryve.Earth Indonesia,Pranab Prakash,"Director, Thryve Earth Indonesia",https://www.thryve.earth/team,Indonesia-specific role per https://www.thryve.earth/team
PT Udara Untuk Semua - FAIRATMOS,Natalia Rialucky Marsudi,Founder & CEO,https://www.fairatmos.com/blog/fairatmos-ceo-at-asia-pe-vc-summit-2025-shaping-the-future-of-climate-investment,"Confirmed as ""Founder & CEO"" in Fairatmos blog post"
South Pole Carbon Asset Management Ltd ,Nadia Kaddouri,Chief Executive Officer,https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Aaron Barasz,Chief Financial Officer and Chief Operations Officer,https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Leila Toplic,Chief Product and Go-to-Market Officer,https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Dara Olufon,Global Head of Advisory,https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Ab Kasmi,Chief Commercial Officer,https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Sofia Chernova,Chief People Officer,https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Leila Kamdem,Chief Risk Officer,https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Kushal Bhimjiani,"Group General Counsel, Chief Compliance Officer and Corporate Secretary",https://www.southpole.com/about-us/our-leadership-team,Global Leadership Team
South Pole Carbon Asset Management Ltd ,Inga Beale,"Chair, South Pole",https://www.southpole.com/about-us/our-leadership-team,"Board of Directors; page lists her as ""Dame Inga Beale"""
South Pole Carbon Asset Management Ltd ,Matthias Tröndle,Director,https://www.southpole.com/about-us/our-leadership-team,Board of Directors; primary role is Vice President and CFO INFICON Holding AG
South Pole Carbon Asset Management Ltd ,Anshari Rahman,Director,https://www.southpole.com/about-us/our-leadership-team,Board of Directors; primary role is Director Strategy and Development Group at GenZero (Temasek)
South Pole Carbon Asset Management Ltd ,Kimberly Tan,Director,https://www.southpole.com/about-us/our-leadership-team,"Board of Directors; primary role is Head of Investments Managing Director, GenZero (Temasek)"
South Pole Carbon Asset Management Ltd ,Nigel McCleave,Director,https://www.southpole.com/about-us/our-leadership-team,Board of Directors; primary role is Partner at Lightrock
South Pole Carbon Asset Management Ltd ,Christoph Grobbel,Co-Founder & Board Director,https://www.southpole.com/about-us/our-leadership-team,"Page lists him as ""Dr. Christoph Grobbel"""
South Pole Carbon Asset Management Ltd ,Patrick Bürgi,Co-Founder / Managing Director Japan / Senior Advisor Innovation,https://www.southpole.com/about-us/our-leadership-team,
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Hendra Soetjipto Tan,Director – Chairman,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,Group CEO of Star Energy Geothermal
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Rudy Suparman,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,Star Energy founder; previously President Director
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Agus Salim Pangestu,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,Pangestu family / Barito Pacific Group connection
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Tan Ek Kia,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Erwin Ciputra,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,Ciputra family connection
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Patrice Rene Clausse,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Shinichiro Suzuki,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Thawat Hirancharukorn,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,
Star Energy Geothermal (parent of Salak/Wayang Windu subsidiaries),Nancy Prajogo Pangestu Tabardel,Director,https://www.starenergygeothermal.co.id/our-story/board-of-directors/,Prajogo Pangestu family connection (Barito Pacific)
Synopex Inc.,Son Kyung-ik,Representative Director / CEO,https://www.synopex.com/eng/,Korean name on page: 손경익
Synopex Inc.,Han Goo-woong,Indonesia Subsidiary Representative,https://www.synopex.com/eng/,Korean name on page: 한구웅; Indonesia-specific role
THE PURE PROJECT SAS,Daniel Klier,Chief Executive Officer,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Stéphane Renard,Chief Financial Officer,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Frederique Borowiec,Chief Legal Officer & General Counsel,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Bianca Ximenes,Chief Data Officer,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Yonas-Sebastian Fall,Chief Operating Officer,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Andrew Nobrega,Chief Product & Development Officer,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Mark Lawson,Chief Growth Officer,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Anne-Sophie Bramard,HR Director,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Farid Bouazza,IT Director,https://pur.co/en/our-team,Executive Team
THE PURE PROJECT SAS,Madeleine Xavier Susay,"Regional Manager, Asia",https://pur.co/en/our-team,Asia regional leadership — covers Indonesia operations
THE PURE PROJECT SAS,Agustin Silvani,Chair of the Board,https://pur.co/en/our-team,Board of Directors
THE PURE PROJECT SAS,Leslie Johnston,Board Member,https://pur.co/en/our-team,Board of Directors
THE PURE PROJECT SAS,Curt Witte,Board Member,https://pur.co/en/our-team,Board of Directors
THE PURE PROJECT SAS,Henry Weaver,Board Member,https://pur.co/en/our-team,Board of Directors
Thryve Earth (parent of PT Thryve.Earth Indonesia),Vinay Kulkarni,Co-Founder & CEO,https://www.thryve.earth/team,Parent company of PT Thryve.Earth Indonesia (in DATASET_companies.csv)
Thryve Earth (parent of PT Thryve.Earth Indonesia),Ron Steinherz,Co-Founder & CPO,https://www.thryve.earth/team,Parent company of PT Thryve.Earth Indonesia (in DATASET_companies.csv)
Thryve Earth (parent of PT Thryve.Earth Indonesia),Amir Lahav,Head of Software Engineering,https://www.thryve.earth/team,Parent company of PT Thryve.Earth Indonesia (in DATASET_companies.csv)
Thryve Earth (parent of PT Thryve.Earth Indonesia),Harish Reddy,Head of Capital Partnerships,https://www.thryve.earth/team,Parent company of PT Thryve.Earth Indonesia (in DATASET_companies.csv)
TSH Resources Berhad,Kelvin Tan Aik Pen,Chairman / Co-Founder,https://www.tsh.com.my/board-of-directors/,
TSH Resources Berhad,Jasmy Ismail,Independent Non-Executive Director,https://www.tsh.com.my/board-of-directors/,"Page lists him as ""Dato' Jasmy Ismail"""
TSH Resources Berhad,Natasha Zulkifli,Independent Non-Executive Director,https://www.tsh.com.my/board-of-directors/,
TSH Resources Berhad,Paul Lim Joo Heng,Independent Non-Executive Director,https://www.tsh.com.my/board-of-directors/,
TSH Resources Berhad,Ina Hasniza Ibrahim,Independent Non-Executive Director,https://www.tsh.com.my/board-of-directors/,
TSH Resources Berhad,Lim Fook Hin,Non-Independent Non-Executive Director,https://www.tsh.com.my/board-of-directors/,
TSH Resources Berhad,Fong Ging Pang,Executive Director,https://www.tsh.com.my/board-of-directors/,
Value Network Ventures Pte Ltd,Sandeep Roy Choudhury,Co Founder & Director,https://vnv.earth/team/,
Value Network Ventures Pte Ltd,Manjari Chandra,Team Head - Portfolio Management,https://vnv.earth/team/,
Value Network Ventures Pte Ltd,Pourush Prakash,Team Head - Commercials,https://vnv.earth/team/,
Value Network Ventures Pte Ltd,Filip Tetaert,"Team Head - Agriculture, Forestry and Land-Use (AFOLU)",https://vnv.earth/team/,AFOLU lead — relevant to Indonesian carbon/forestry projects
Value Network Ventures Pte Ltd,Kasturi Navalkar,Team Head - Partnerships,https://vnv.earth/team/,
Value Network Ventures Pte Ltd,Atri Shaw,Team Head - REDD+ Projects,https://vnv.earth/team/,"REDD+ lead — directly relevant to Indonesian forestry projects. Page lists him as ""Dr. Atri Shaw"""
Value Network Ventures Pte Ltd,Jibotosh Pandit,Head - Remote Sensing & GIS,https://vnv.earth/team/,
Vlinder Austria GmbH(Proponent),Tom Kagerer,CEO,https://vlinderclimate.com/,Executive Leadership
Vlinder Austria GmbH(Proponent),Sergey Ivliev,"Founder, Chief Strategy Officer",https://vlinderclimate.com/,"Page lists him as ""Dr. Sergey Ivliev"""
Vlinder Austria GmbH(Proponent),Lena Mechenkova,"Founder, Head of Projects",https://vlinderclimate.com/,
Vlinder Austria GmbH(Proponent),Robin Bartmann,COO,https://vlinderclimate.com/,
Vlinder Austria GmbH(Proponent),Christian Svoboda,CFO,https://vlinderclimate.com/,
Vlinder Austria GmbH(Proponent),Holly Elgar,Technical and Knowledge Lead,https://vlinderclimate.com/,
Vlinder Austria GmbH(Proponent),Galih Prasetya,Implementation Lead - Indonesia,https://vlinderclimate.com/,Indonesia-specific role
Yayasan Bumi Sasmaya,IGN Agastya Yatra,Head of Foundation,https://bumisasmaya.org/about-us/,
Yayasan Bumi Sasmaya,Sean Nino Lotze,Founder (Board of Trustee),https://bumisasmaya.org/about-us/,
Yayasan Bumi Sasmaya,Komang Cahyendra,Supervisor (Board of Trustee),https://bumisasmaya.org/about-us/,
Yayasan Inisiasi Alam Rehabilitasi Indonesia (YIARI),Karmele Llano Sanchez,Founder and Chief Executive Officer,https://www.linkedin.com/in/karmele-llano-sanchez-21919b354/,"yiari.or.id blocked by 403 to WebFetch; LinkedIn profile is her own public-facing record. Wildlife Conservation Veterinarian; co-founded YIARI 2008 with funding from International Animal Rescue (IAR). Title quote: ""Founder and Chief Executive Officer at Yayasan Inisiasi Alam Rehabilitasi Indonesia (YIARI)"""
Yayasan Konservasi Pesisir Indonesia (YAKOPI),Eling Tuhono,Director,https://www.yakopi.org/,"Identified as ""YAKOPI Director"" on homepage news; full name: Eling Tuhono, S.Pd., M.Si."
Yayasan Rumah Energi (YRE),Maritje Hutapea,Chairwoman of the Advisory Board,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
Yayasan Rumah Energi (YRE),Sandra Winarsa,Member of the Advisory Board,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
Yayasan Rumah Energi (YRE),Husnul Maad,Chairman of the Supervisory Board,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
Yayasan Rumah Energi (YRE),Elrika Hamdi,Member of the Supervisory Board,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
Yayasan Rumah Energi (YRE),Husni Irawati,Member of the Supervisory Board,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
Yayasan Rumah Energi (YRE),Sumanda Tondang,Executive Director,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
Yayasan Rumah Energi (YRE),Gustina,Operation Director & Project Manager Pro-Women,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
Yayasan Rumah Energi (YRE),Hernety,Finance Director,https://www.rumahenergi.org/en/about-rumah-energi/our-team,
180 Climate PTE.Ltd,(no info found),,https://www.180climate.net/,"Searched https://www.180climate.net/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Agraus Resources,(no info found),,https://agrausresources.com/,"Searched https://agrausresources.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
"AgriCapture, Inc.",(no info found),,https://agricapture.com/,"Searched https://agricapture.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
AgriTC,(no info found),,?,"No company website or canonical source in DATASET_companies.csv. Try Indonesian business registry (companieshouse.id), news searches, or LinkedIn."
Althelia Climate Fund,(no info found),,https://www.eib.org/en/projects/all/20100720,"Searched https://www.eib.org/en/projects/all/20100720 — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
Ambrawa village,(no info found),,https://registry.verra.org/app/projectDetail/VCS/3226,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
APOLOWNIA SAS,(no info found),,https://www.apolownia.com/,"Searched https://www.apolownia.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
"Asia Assets Developments Co., Ltd.",(no info found),,https://www.asiaassetsdev.com/,"Searched https://www.asiaassetsdev.com/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
ASIA PACIFIC RESOURCES INTERNATIONAL LTD (APRIL),(no info found),,https://www.aprilasia.com/en/,"Searched https://www.aprilasia.com/en/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
atmosfair gGmbH,(no info found),,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I9,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I9 for company contact details, or search for the company on companieshouse.id."
BALIFOKUS,(no info found),,https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I8,"No company website in dataset — URL points to a registry document. Try the project's PDD (Project Design Document) at https://cdm.unfccc.int/UserManagement/FileStorage/3CEHJR07WGKNQY84MOVBPFTX2DZ6I8 for company contact details, or search for the company on companieshouse.id."
Batu Ampar village,(no info found),,https://registry.verra.org/app/projectDetail/VCS/3227,"Local-level entity (village, cooperative, or community forest body). Leadership is typically village heads / cooperative chairs not published online; try local government records or REDD+ project documents."
Bentang Kalimantan,(no info found),,https://bentangkalimantan.org/,"Searched https://bentangkalimantan.org/ — no leadership listed. Try news searches (Indonesian: Tempo, Kompas, Bisnis Indonesia; English: Reuters, Mongabay) or Indonesian business registry companieshouse.id."
